Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,null,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,2,1,2,0,0
Mar 13,2,0,2,0,0
Mar 14,2,0,2,0,0
Mar 15,2,0,2,0,0
Mar 16,9,7,9,0,0
Mar 17,9,0,9,0,0
Mar 18,9,0,9,0,0
Mar 19,10,1,10,0,0
Mar 20,11,1,11,0,0
Mar 21,18,7,17,0,0
Mar 22,23,5,22,0,0
Mar 23,23,0,22,0,0
Mar 24,23,0,22,0,0
Mar 25,31,8,30,0,0
Mar 26,33,2,32,0,0
Mar 27,42,9,41,0,0
Mar 28,43,1,41,1,1
Mar 29,46,3,44,1,0
Mar 30,49,3,47,1,0
Mar 31,52,3,49,1,0
Apr 01,55,3,52,1,0
Apr 02,60,5,57,1,0
Apr 03,64,4,60,1,0
