Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,0,null,0,0,0
Mar 16,0,null,0,0,0
Mar 17,2,null,2,0,0
Mar 18,8,6,8,0,0
Mar 19,13,5,13,0,0
Mar 20,14,1,14,0,0
Mar 21,16,2,16,0,0
Mar 22,21,5,21,0,0
Mar 23,27,6,26,1,0
Mar 24,47,20,46,1,0
Mar 25,53,6,52,1,0
Mar 26,69,16,68,1,0
Mar 27,82,13,81,1,0
Mar 28,84,2,83,1,0
Mar 29,85,1,84,1,0
Mar 30,91,6,90,1,0
Mar 31,109,18,107,2,1
Apr 01,123,14,121,2,0
Apr 02,144,21,142,2,0
Apr 03,174,30,171,2,0
Apr 04,201,27,198,2,0
