Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,1,null,1,0,0
Feb 28,2,1,2,0,0
Feb 29,7,5,7,0,0
Mar 01,10,3,10,0,0
Mar 02,18,8,18,0,0
Mar 03,23,5,23,0,0
Mar 04,38,15,38,0,0
Mar 05,82,44,82,0,0
Mar 06,128,46,127,1,1
Mar 07,188,60,187,1,0
Mar 08,265,77,262,3,2
Mar 09,321,56,317,4,1
Mar 10,382,61,378,4,0
Mar 11,503,121,498,5,1
Mar 12,614,111,607,5,0
Mar 13,804,190,792,10,5
Mar 14,959,155,945,12,2
Mar 15,1135,176,1113,20,8
Mar 16,1413,278,1387,24,4
Mar 17,1705,292,1660,43,19
Mar 18,2051,346,1991,58,15
Mar 19,2460,409,2382,76,18
Mar 20,2994,534,2886,106,30
Mar 21,3631,637,3493,136,30
Mar 22,4204,573,4023,179,43
Mar 23,4749,545,4534,213,34
Mar 24,5560,811,5282,276,63
Mar 25,6412,852,6053,356,80
Mar 26,7431,1019,6994,434,78
