Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,null,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,2,1,2,0,0
Mar 04,3,1,3,0,0
Mar 05,4,1,4,0,0
Mar 06,4,0,4,0,0
Mar 07,5,1,5,0,0
Mar 08,5,0,5,0,0
Mar 09,5,0,5,0,0
Mar 10,5,0,5,0,0
Mar 11,5,0,5,0,0
Mar 12,5,0,5,0,0
Mar 13,6,1,6,0,0
Mar 14,8,2,8,0,0
Mar 15,8,0,8,0,0
Mar 16,8,0,8,0,0
Mar 17,20,12,20,0,0
Mar 18,20,0,20,0,0
Mar 19,28,8,28,0,0
Mar 20,52,24,52,0,0
Mar 21,52,0,52,0,0
Mar 22,102,50,102,0,0
Mar 23,102,0,102,0,0
Mar 24,205,103,183,0,0
Mar 25,283,78,256,0,0
Mar 26,368,85,331,0,0
Mar 27,368,0,331,0,0
Mar 28,514,146,457,1,1
Mar 29,514,0,457,1,0
Mar 30,589,75,525,1,0
Mar 31,647,58,572,1,0
Apr 01,708,61,624,1,0
Apr 02,797,89,704,1,0
Apr 03,868,71,764,1,0
