Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,1,1,1,0,0
Feb 29,1,0,1,0,0
Mar 01,1,0,1,0,0
Mar 02,1,0,1,0,0
Mar 03,1,0,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,2,1,2,0,0
Mar 10,2,0,2,0,0
Mar 11,2,0,2,0,0
Mar 12,2,0,2,0,0
Mar 13,2,0,2,0,0
Mar 14,2,0,2,0,0
Mar 15,2,0,1,0,0
Mar 16,2,0,1,0,0
Mar 17,3,1,2,0,0
Mar 18,8,5,7,0,0
Mar 19,12,4,11,0,0
Mar 20,12,0,11,0,0
Mar 21,22,10,21,0,0
Mar 22,30,8,28,0,0
Mar 23,40,10,37,1,1
Mar 24,44,4,41,1,0
Mar 25,51,7,48,1,0
Mar 26,65,14,61,1,0
Mar 27,70,5,66,1,0
Mar 28,97,27,93,1,0
Mar 29,111,14,107,1,0
Mar 30,131,20,121,2,1
Mar 31,135,4,125,2,0
Apr 01,174,39,163,2,0
Apr 02,184,10,162,2,0
Apr 03,210,26,181,4,2
