Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,1,null,1,0,0
Feb 27,4,3,4,0,0
Feb 28,6,2,6,0,0
Feb 29,15,9,15,0,0
Mar 01,19,4,19,0,0
Mar 02,25,6,25,0,0
Mar 03,33,8,33,0,0
Mar 04,59,26,59,0,0
Mar 05,94,35,94,0,0
Mar 06,127,33,126,0,0
Mar 07,156,29,156,0,0
Mar 08,176,20,175,0,0
Mar 09,227,51,226,0,0
Mar 10,400,173,399,0,0
Mar 11,629,229,628,0,0
Mar 12,800,171,798,1,1
Mar 13,996,196,994,1,0
Mar 14,1109,113,1105,3,2
Mar 15,1256,147,1252,3,0
Mar 16,1348,92,1344,3,0
Mar 17,1471,123,1467,3,0
Mar 18,1591,120,1584,6,3
Mar 19,1790,199,1782,7,1
Mar 20,1959,169,1951,7,0
Mar 21,2164,205,2151,7,0
Mar 22,2385,221,2372,7,0
Mar 23,2625,240,2609,10,3
Mar 24,2866,241,2848,12,2
Mar 25,3084,218,3064,14,2
Mar 26,3372,288,3352,14,0
Mar 27,3771,399,3745,19,5
Mar 28,4015,244,3985,23,4
Mar 29,4284,269,4251,26,3
Mar 30,4445,161,4401,32,6
