Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,2,null,2,0,0
Feb 25,4,2,4,0,0
Feb 26,4,0,4,0,0
Feb 27,6,2,6,0,0
Feb 28,6,0,6,0,0
Feb 29,6,0,5,0,0
Mar 01,6,0,5,0,0
Mar 02,6,0,4,0,0
Mar 03,12,6,10,0,0
Mar 04,15,3,13,0,0
Mar 05,16,1,14,0,0
Mar 06,16,0,14,0,0
Mar 07,16,0,14,0,0
Mar 08,16,0,14,0,0
Mar 09,18,2,9,0,0
Mar 10,18,0,9,0,0
Mar 11,18,0,9,0,0
Mar 12,18,0,9,0,0
Mar 13,19,1,10,0,0
Mar 14,20,1,11,0,0
Mar 15,22,2,13,0,0
Mar 16,24,2,15,0,0
Mar 17,33,9,21,0,0
Mar 18,39,6,26,0,0
Mar 19,48,9,35,0,0
Mar 20,48,0,35,0,0
Mar 21,52,4,39,0,0
Mar 22,55,3,38,0,0
Mar 23,66,11,49,0,0
Mar 24,84,18,67,0,0
Mar 25,99,15,82,0,0
Mar 26,109,10,86,0,0
Mar 27,131,22,108,0,0
Mar 28,152,21,129,0,0
Mar 29,167,15,144,0,0
Mar 30,179,12,150,0,0
Mar 31,192,13,157,1,1
Apr 01,210,18,175,1,0
Apr 02,231,21,173,1,0
Apr 03,252,21,194,1,0
