Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,2,null,2,0,0
Feb 27,2,0,2,0,0
Feb 28,2,0,2,0,0
Feb 29,4,2,4,0,0
Mar 01,4,0,4,0,0
Mar 02,4,0,4,0,0
Mar 03,5,1,5,0,0
Mar 04,5,0,5,0,0
Mar 05,5,0,5,0,0
Mar 06,6,1,5,0,0
Mar 07,6,0,5,0,0
Mar 08,7,1,6,0,0
Mar 09,16,9,15,0,0
Mar 10,19,3,17,0,0
Mar 11,20,1,18,0,0
Mar 12,21,1,19,0,0
Mar 13,28,7,26,0,0
Mar 14,33,5,31,0,0
Mar 15,53,20,51,0,0
Mar 16,184,131,182,0,0
Mar 17,247,63,245,0,0
Mar 18,307,60,292,2,2
Mar 19,454,147,439,2,0
Mar 20,501,47,485,3,1
Mar 21,645,144,629,3,0
Mar 22,776,131,758,5,2
Mar 23,875,99,856,6,1
Mar 24,972,97,947,7,1
Mar 25,1063,91,1034,8,1
Mar 26,1201,138,1171,9,1
Mar 27,1373,172,1339,11,2
Mar 28,1495,122,1454,12,1
Mar 29,1597,102,1554,14,2
Mar 30,1717,120,1620,21,7
Mar 31,1938,221,1836,26,5
Apr 01,2118,180,1997,27,1
Apr 02,2421,303,2262,34,7
Apr 03,2686,265,2520,40,6
