Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,1,null,1,0,0
Mar 11,14,13,13,1,1
Mar 12,14,0,13,1,0
Mar 13,27,13,26,1,0
Mar 14,43,16,42,1,0
Mar 15,55,12,54,1,0
Mar 16,69,14,68,1,0
Mar 17,69,0,68,1,0
Mar 18,109,40,108,1,0
Mar 19,137,28,135,1,0
Mar 20,200,63,198,1,0
Mar 21,245,45,241,3,2
Mar 22,313,68,309,3,0
Mar 23,345,32,338,6,3
Mar 24,443,98,436,6,0
Mar 25,558,115,548,8,2
Mar 26,674,116,663,9,1
Mar 27,786,112,770,14,5
Mar 28,901,115,880,17,3
Mar 29,989,88,961,24,7
Mar 30,1075,86,1039,27,3
Mar 31,1181,106,1142,30,3
Apr 01,1317,136,1276,32,2
Apr 02,1475,158,1429,37,5
Apr 03,1673,198,1622,41,4
Apr 04,1801,128,1742,46,5
