Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,1,null,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,2,1,2,0,0
Mar 11,5,3,5,0,0
Mar 12,6,1,6,0,0
Mar 13,6,0,6,0,0
Mar 14,7,1,7,0,0
Mar 15,8,1,8,0,0
Mar 16,8,0,8,0,0
Mar 17,9,1,9,0,0
Mar 18,11,2,11,0,0
Mar 19,13,2,13,0,0
Mar 20,18,5,18,0,0
Mar 21,22,4,21,1,0
Mar 22,22,0,21,1,0
Mar 23,22,0,21,1,0
Mar 24,27,5,25,2,1
Mar 25,37,10,34,3,1
Mar 26,41,4,38,3,0
Mar 27,52,11,48,3,0
Mar 28,56,4,52,3,0
Mar 29,59,3,55,3,0
Mar 30,64,5,60,3,0
Mar 31,65,1,61,3,0
Apr 01,69,4,65,3,0
Apr 02,77,8,72,3,0
Apr 03,92,15,83,3,0
Apr 04,96,4,81,3,0
