Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,1,null,1,0,0
Mar 07,6,5,6,0,0
Mar 08,7,1,7,0,0
Mar 09,9,2,9,0,0
Mar 10,11,2,11,0,0
Mar 11,17,6,17,0,0
Mar 12,22,5,22,0,0
Mar 13,38,16,38,0,0
Mar 14,43,5,43,0,0
Mar 15,71,28,71,0,0
Mar 16,86,15,85,0,0
Mar 17,117,31,116,0,0
Mar 18,145,28,144,0,0
Mar 19,234,89,232,1,0
Mar 20,263,29,258,4,3
Mar 21,318,55,312,5,1
Mar 22,363,45,357,5,0
Mar 23,395,32,389,5,0
Mar 24,416,21,408,7,2
Mar 25,480,64,470,9,2
Mar 26,580,100,557,9,0
Mar 27,635,55,608,11,2
Mar 28,671,36,639,16,5
Mar 29,852,181,818,18,2
Mar 30,950,98,873,24,6
Mar 31,1065,115,641,30,6
Apr 01,1323,258,891,38,8
Apr 02,1414,91,822,55,17
Apr 03,1595,181,997,61,6
Apr 04,1746,151,759,73,12
