Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,3,null,0,1,0
Feb 16,3,0,0,1,0
Feb 17,3,0,0,1,0
Feb 18,3,0,0,1,0
Feb 19,3,0,0,1,0
Feb 20,3,0,0,1,0
Feb 21,3,0,0,1,0
Feb 22,3,0,0,1,0
Feb 23,3,0,0,1,0
Feb 24,3,0,0,1,0
Feb 25,3,0,0,1,0
Feb 26,3,0,0,1,0
Feb 27,3,0,0,1,0
Feb 28,3,0,0,1,0
Feb 29,3,0,0,1,0
Mar 01,3,0,0,1,0
Mar 02,3,0,0,1,0
Mar 03,3,0,0,1,0
Mar 04,3,0,0,1,0
Mar 05,3,0,0,1,0
Mar 06,5,2,2,1,0
Mar 07,6,1,3,1,0
Mar 08,10,4,7,1,0
Mar 09,24,14,21,1,0
Mar 10,33,9,30,1,0
Mar 11,49,16,45,2,1
Mar 12,52,3,45,5,3
Mar 13,64,12,57,5,0
Mar 14,111,47,101,8,3
Mar 15,140,29,126,12,4
Mar 16,142,2,127,12,0
Mar 17,187,45,169,14,2
Mar 18,202,15,178,17,3
Mar 19,217,15,192,17,0
Mar 20,230,13,204,18,1
Mar 21,307,77,275,19,1
Mar 22,380,73,340,25,6
Mar 23,462,82,411,33,8
Mar 24,552,90,497,35,2
Mar 25,636,84,572,38,3
Mar 26,707,71,634,45,7
Mar 27,803,96,718,54,9
Mar 28,1075,272,972,68,14
Mar 29,1418,343,1305,71,3
Mar 30,1546,128,1426,78,7
Mar 31,2084,538,1947,88,10
Apr 01,2311,227,2165,96,8
Apr 02,2633,322,2475,107,11
Apr 03,3018,385,2830,136,29
