Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,1,null,1,0,0
Mar 05,1,0,1,0,0
Mar 06,5,4,5,0,0
Mar 07,6,1,6,0,0
Mar 08,11,5,11,0,0
Mar 09,17,6,17,0,0
Mar 10,22,5,22,0,0
Mar 11,31,9,31,0,0
Mar 12,51,20,50,1,0
Mar 13,68,17,66,2,1
Mar 14,104,36,88,3,1
Mar 15,125,21,109,3,0
Mar 16,177,52,160,4,1
Mar 17,238,61,220,5,1
Mar 18,287,49,269,5,0
Mar 19,355,68,337,5,0
Mar 20,425,70,407,5,0
Mar 21,536,111,518,5,0
Mar 22,634,98,614,7,2
Mar 23,749,115,728,8,1
Mar 24,901,152,890,10,2
Mar 25,1051,150,1030,14,4
Mar 26,1221,170,1198,16,2
Mar 27,1389,168,1366,16,0
Mar 28,1638,249,1613,18,2
Mar 29,1862,224,1833,22,4
Mar 30,2055,193,2017,31,9
Mar 31,2311,256,2271,33,2
Apr 01,2554,243,2455,43,10
Apr 02,2946,392,2833,57,14
Apr 03,3383,437,3256,71,14
