Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,2,null,2,0,0
Mar 03,4,2,4,0,0
Mar 04,6,2,6,0,0
Mar 05,9,3,9,0,0
Mar 06,13,4,13,0,0
Mar 07,21,8,21,0,0
Mar 08,30,9,30,0,0
Mar 09,39,9,39,0,0
Mar 10,41,2,41,0,0
Mar 11,61,20,61,0,0
Mar 12,78,17,77,0,0
Mar 13,112,34,111,0,0
Mar 14,169,57,167,0,0
Mar 15,245,76,242,0,0
Mar 16,331,86,327,1,1
Mar 17,448,117,444,1,0
Mar 18,642,194,636,2,1
Mar 19,786,144,778,4,2
Mar 20,1020,234,1009,6,2
Mar 21,1280,260,1263,12,6
Mar 22,1600,320,1581,14,2
Mar 23,2060,460,2023,23,9
Mar 24,2362,302,2307,33,10
Mar 25,2995,633,2930,43,10
Mar 26,3544,549,3441,60,17
Mar 27,4268,724,4149,76,16
Mar 28,5170,902,5027,100,24
Mar 29,5962,792,5800,119,19
Mar 30,6408,446,6225,140,21
Mar 31,7443,1035,7240,160,20
