Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,1,null,1,0,0
Mar 01,3,2,3,0,0
Mar 02,7,4,7,0,0
Mar 03,8,1,8,0,0
Mar 04,8,0,8,0,0
Mar 05,8,0,8,0,0
Mar 06,11,3,11,0,0
Mar 07,12,1,12,0,0
Mar 08,15,3,15,0,0
Mar 09,18,3,18,0,0
Mar 10,24,6,24,0,0
Mar 11,262,238,262,0,0
Mar 12,262,0,262,0,0
Mar 13,320,58,320,0,0
Mar 14,337,17,333,0,0
Mar 15,401,64,397,0,0
Mar 16,439,38,435,0,0
Mar 17,442,3,438,0,0
Mar 18,452,10,448,0,0
Mar 19,460,8,450,0,0
Mar 20,470,10,460,0,0
Mar 21,481,11,454,0,0
Mar 22,494,13,461,0,0
Mar 23,501,7,468,0,0
Mar 24,526,25,485,0,0
Mar 25,537,11,496,0,0
Mar 26,549,12,506,0,0
Mar 27,562,13,519,0,0
Mar 28,590,28,544,1,1
Mar 29,634,44,585,1,0
Mar 30,693,59,641,1,0
Mar 31,781,88,717,2,1
Apr 01,835,54,762,2,0
Apr 02,949,114,874,3,1
Apr 03,1075,126,979,3,0
Apr 04,1325,250,1213,3,0
