Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,1,null,1,0,0
Feb 27,1,0,1,0,0
Feb 28,3,2,2,0,0
Feb 29,3,0,2,0,0
Mar 01,3,0,2,0,0
Mar 02,3,0,2,0,0
Mar 03,4,1,3,0,0
Mar 04,6,2,5,0,0
Mar 05,6,0,3,0,0
Mar 06,9,3,6,0,0
Mar 07,13,4,10,0,0
Mar 08,15,2,10,0,0
Mar 09,17,2,12,0,0
Mar 10,29,12,24,0,0
Mar 11,47,18,41,0,0
Mar 12,59,12,52,0,0
Mar 13,95,36,88,0,0
Mar 14,123,28,114,0,0
Mar 15,139,16,130,0,0
Mar 16,168,29,159,0,0
Mar 17,217,49,198,0,0
Mar 18,260,43,241,0,0
Mar 19,277,17,252,0,0
Mar 20,308,31,277,0,0
Mar 21,367,59,315,0,0
Mar 22,433,66,366,3,3
Mar 23,576,143,496,7,4
Mar 24,794,218,703,12,5
Mar 25,906,112,803,17,5
Mar 26,1029,123,912,23,6
Mar 27,1292,263,1151,26,3
Mar 28,1452,160,1276,37,11
Mar 29,1815,363,1566,43,6
Mar 30,2109,294,1835,65,22
Mar 31,2245,136,1943,82,17
Apr 01,2460,215,2116,92,10
Apr 02,2738,278,2356,115,23
Apr 03,3183,445,2767,133,18
Apr 04,3613,430,3138,146,13
