Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,2,null,0,0,0
Feb 16,2,0,0,0,0
Feb 17,2,0,0,0,0
Feb 18,2,0,0,0,0
Feb 19,2,0,0,0,0
Feb 20,2,0,0,0,0
Feb 21,2,0,0,0,0
Feb 22,2,0,0,0,0
Feb 23,2,0,0,0,0
Feb 24,2,0,0,0,0
Feb 25,2,0,0,0,0
Feb 26,2,0,0,0,0
Feb 27,2,0,0,0,0
Feb 28,2,0,0,0,0
Feb 29,2,0,0,0,0
Mar 01,2,0,0,0,0
Mar 02,3,1,1,0,0
Mar 03,3,0,1,0,0
Mar 04,3,0,1,0,0
Mar 05,7,4,5,0,0
Mar 06,13,6,11,0,0
Mar 07,14,1,11,0,0
Mar 08,17,3,14,0,0
Mar 09,20,3,17,0,0
Mar 10,20,0,17,0,0
Mar 11,28,8,25,0,0
Mar 12,34,6,31,0,0
Mar 13,45,11,37,0,0
Mar 14,59,14,51,0,0
Mar 15,63,4,55,0,0
Mar 16,93,30,85,0,0
Mar 17,114,21,106,0,0
Mar 18,147,33,139,0,0
Mar 19,199,52,190,1,1
Mar 20,253,54,240,1,0
Mar 21,306,53,289,1,0
Mar 22,367,61,350,1,0
Mar 23,438,71,420,1,0
Mar 24,495,57,472,1,0
Mar 25,658,163,626,3,2
Mar 26,840,182,799,3,0
Mar 27,1036,196,987,4,1
Mar 28,1264,228,1211,4,0
Mar 29,1534,270,1462,8,4
Mar 30,1836,302,1761,9,1
Mar 31,2337,501,2199,17,8
Apr 01,2777,440,2563,24,7
Apr 02,3548,771,3283,30,6
Apr 03,4149,601,3834,34,4
Apr 04,4731,582,4355,43,9
