Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,2,null,2,0,0
Mar 02,2,0,2,0,0
Mar 03,2,0,2,0,0
Mar 04,2,0,2,0,0
Mar 05,2,0,2,0,0
Mar 06,2,0,2,0,0
Mar 07,2,0,2,0,0
Mar 08,2,0,2,0,0
Mar 09,2,0,2,0,0
Mar 10,2,0,2,0,0
Mar 11,2,0,2,0,0
Mar 12,2,0,2,0,0
Mar 13,2,0,2,0,0
Mar 14,2,0,2,0,0
Mar 15,2,0,2,0,0
Mar 16,2,0,2,0,0
Mar 17,2,0,2,0,0
Mar 18,3,1,3,0,0
Mar 19,3,0,3,0,0
Mar 20,4,1,4,0,0
Mar 21,5,1,5,0,0
Mar 22,5,0,5,0,0
Mar 23,8,3,8,0,0
Mar 24,8,0,8,0,0
Mar 25,11,3,11,0,0
Mar 26,11,0,11,0,0
Mar 27,11,0,11,0,0
Mar 28,11,0,11,0,0
Mar 29,11,0,11,0,0
Mar 30,18,7,15,1,0
Mar 31,21,3,18,1,0
Apr 01,22,1,19,1,0
Apr 02,22,0,19,1,0
Apr 03,22,0,19,1,0
Apr 04,24,2,17,2,1
