Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,1,null,1,0,0
Feb 28,1,0,1,0,0
Feb 29,1,0,1,0,0
Mar 01,9,8,8,1,1
Mar 02,9,0,8,1,0
Mar 03,11,2,10,1,0
Mar 04,17,6,16,1,0
Mar 05,22,5,21,1,0
Mar 06,24,2,23,1,0
Mar 07,27,3,26,1,0
Mar 08,37,10,36,1,0
Mar 09,51,14,49,2,1
Mar 10,62,11,60,2,0
Mar 11,69,7,66,3,1
Mar 12,72,3,67,5,2
Mar 13,80,8,73,5,0
Mar 14,101,21,92,5,0
Mar 15,109,8,98,7,2
Mar 16,109,0,96,9,2
Mar 17,119,10,104,11,2
Mar 18,140,21,122,14,3
Mar 19,144,4,126,14,0
Mar 20,151,7,133,14,0
Mar 21,160,9,136,20,6
Mar 22,175,15,151,20,0
Mar 23,187,12,163,20,0
Mar 24,187,0,162,21,1
Mar 25,208,21,183,21,0
Mar 26,208,0,183,21,0
Mar 27,223,15,196,21,0
Mar 28,224,1,196,22,1
Mar 29,224,0,196,22,0
Mar 30,230,6,192,25,3
Mar 31,236,6,197,26,1
Apr 01,236,0,195,28,2
Apr 02,245,9,194,30,2
Apr 03,251,6,193,32,2
