Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,1,null,1,0,0
Mar 03,1,0,1,0,0
Mar 04,2,1,2,0,0
Mar 05,5,3,4,0,0
Mar 06,5,0,4,0,0
Mar 07,7,2,6,0,0
Mar 08,11,4,10,0,0
Mar 09,20,9,19,0,0
Mar 10,20,0,19,0,0
Mar 11,45,25,44,0,0
Mar 12,45,0,44,0,0
Mar 13,86,41,85,0,0
Mar 14,103,17,102,0,0
Mar 15,118,15,115,0,0
Mar 16,133,15,127,0,0
Mar 17,171,38,165,0,0
Mar 18,238,67,232,0,0
Mar 19,274,36,266,0,0
Mar 20,344,70,336,0,0
Mar 21,392,48,376,0,0
Mar 22,511,119,494,0,0
Mar 23,562,51,543,0,0
Mar 24,767,205,738,1,1
Mar 25,900,133,869,2,1
Mar 26,1012,112,976,3,1
Mar 27,1104,92,1066,3,0
Mar 28,1203,99,1162,4,1
Mar 29,1299,96,1225,8,4
Mar 30,1453,154,1330,8,0
Mar 31,1563,110,1388,10,2
Apr 01,1720,157,1440,16,6
Apr 02,1885,165,1536,21,5
Apr 03,2039,154,1663,25,4
