Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,1,null,1,0,0
Mar 03,2,1,2,0,0
Mar 04,4,2,4,0,0
Mar 05,4,0,4,0,0
Mar 06,4,0,3,0,0
Mar 07,4,0,3,0,0
Mar 08,4,0,3,0,0
Mar 09,4,0,3,0,0
Mar 10,4,0,3,0,0
Mar 11,4,0,3,0,0
Mar 12,10,6,9,0,0
Mar 13,21,11,19,0,0
Mar 14,24,3,22,0,0
Mar 15,24,0,22,0,0
Mar 16,27,3,25,0,0
Mar 17,27,0,25,0,0
Mar 18,36,9,34,0,0
Mar 19,36,0,34,0,0
Mar 20,47,11,42,0,0
Mar 21,56,9,51,0,0
Mar 22,67,11,62,0,0
Mar 23,79,12,71,0,0
Mar 24,86,7,78,0,0
Mar 25,99,13,90,0,0
Mar 26,105,6,96,0,0
Mar 27,119,14,108,0,0
Mar 28,130,11,112,0,0
Mar 29,142,12,115,0,0
Mar 30,162,20,135,0,0
Mar 31,175,13,135,0,0
Apr 01,190,15,144,1,1
Apr 02,195,5,139,1,0
Apr 03,207,12,140,1,0
