Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,1,null,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,2,1,2,0,0
Mar 10,5,3,5,0,0
Mar 11,18,13,18,0,0
Mar 12,24,6,24,0,0
Mar 13,35,11,35,0,0
Mar 14,46,11,46,0,0
Mar 15,48,2,47,0,0
Mar 16,57,9,56,0,0
Mar 17,72,15,71,0,0
Mar 18,89,17,88,0,0
Mar 19,103,14,102,0,0
Mar 20,135,32,132,1,0
Mar 21,171,36,168,1,0
Mar 22,222,51,218,2,1
Mar 23,249,27,243,3,1
Mar 24,303,54,285,3,0
Mar 25,384,81,365,4,1
Mar 26,457,73,435,7,3
Mar 27,528,71,478,8,1
Mar 28,659,131,607,10,2
Mar 29,741,82,686,13,3
Mar 30,785,44,727,16,3
Mar 31,900,115,835,23,7
Apr 01,1060,160,990,28,5
Apr 02,1171,111,1098,31,3
Apr 03,1476,305,1383,39,8
