Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,1,null,1,0,0
Mar 07,3,2,3,0,0
Mar 08,5,2,5,0,0
Mar 09,7,2,7,0,0
Mar 10,7,0,7,0,0
Mar 11,10,3,10,0,0
Mar 12,21,11,21,0,0
Mar 13,32,11,32,0,0
Mar 14,44,12,44,0,0
Mar 15,61,17,61,0,0
Mar 16,72,11,72,0,0
Mar 17,97,25,97,0,0
Mar 18,105,8,105,0,0
Mar 19,124,19,124,0,0
Mar 20,137,13,137,0,0
Mar 21,178,41,171,0,0
Mar 22,185,7,178,0,0
Mar 23,186,1,179,0,0
Mar 24,204,18,197,0,0
Mar 25,216,12,209,0,0
Mar 26,226,10,224,0,0
Mar 27,269,43,267,0,0
Mar 28,292,23,290,0,0
Mar 29,314,22,312,0,0
Mar 30,336,22,329,0,0
Mar 31,363,27,360,0,0
Apr 01,400,37,396,1,1
Apr 02,426,26,420,1,0
Apr 03,450,24,439,1,0
Apr 04,471,21,460,1,0
