Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,1,null,1,0,0
Mar 05,6,5,6,0,0
Mar 06,8,2,8,0,0
Mar 07,12,4,12,0,0
Mar 08,16,4,16,0,0
Mar 09,25,9,25,0,0
Mar 10,34,9,34,0,0
Mar 11,57,23,57,0,0
Mar 12,96,39,96,0,0
Mar 13,141,45,141,0,0
Mar 14,181,40,180,1,0
Mar 15,219,38,218,1,0
Mar 16,253,34,252,1,0
Mar 17,275,22,274,1,0
Mar 18,286,11,285,1,0
Mar 19,319,33,318,1,0
Mar 20,341,22,340,1,0
Mar 21,383,42,382,1,0
Mar 22,414,31,412,2,1
Mar 23,442,28,439,3,1
Mar 24,480,38,473,4,1
Mar 25,528,48,513,5,1
Mar 26,562,34,546,6,1
Mar 27,632,70,613,9,3
Mar 28,684,52,665,9,0
Mar 29,730,46,709,11,2
Mar 30,756,26,735,11,0
Mar 31,802,46,777,15,4
Apr 01,841,39,816,15,0
Apr 02,897,56,810,17,2
Apr 03,934,37,844,20,3
Apr 04,977,43,876,22,2
