Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,1,null,1,0,0
Mar 06,1,0,1,0,0
Mar 07,2,1,2,0,0
Mar 08,3,1,3,0,0
Mar 09,7,4,7,0,0
Mar 10,7,0,7,0,0
Mar 11,13,6,13,0,0
Mar 12,16,3,16,0,0
Mar 13,24,8,24,0,0
Mar 14,38,14,38,0,0
Mar 15,61,23,61,0,0
Mar 16,64,3,64,0,0
Mar 17,85,21,85,0,0
Mar 18,116,31,116,0,0
Mar 19,150,34,150,0,0
Mar 20,202,52,202,0,0
Mar 21,240,38,238,0,0
Mar 22,274,34,272,0,0
Mar 23,402,128,398,0,0
Mar 24,554,152,550,0,0
Mar 25,709,155,697,0,0
Mar 26,927,218,915,0,0
Mar 27,1170,243,1138,1,0
Mar 28,1187,17,1155,1,0
Mar 29,1280,93,1247,2,1
Mar 30,1326,46,1292,3,1
Mar 31,1353,27,1317,5,2
Apr 01,1380,27,1325,5,0
Apr 02,1462,82,1407,5,0
Apr 03,1505,43,1401,9,4
Apr 04,1585,80,1481,9,0
