Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,1,null,0,0,0
Feb 16,1,0,0,0,0
Feb 17,1,0,0,0,0
Feb 18,1,0,0,0,0
Feb 19,1,0,0,0,0
Feb 20,1,0,0,0,0
Feb 21,1,0,0,0,0
Feb 22,1,0,0,0,0
Feb 23,1,0,0,0,0
Feb 24,1,0,0,0,0
Feb 25,1,0,0,0,0
Feb 26,1,0,0,0,0
Feb 27,1,0,0,0,0
Feb 28,1,0,0,0,0
Feb 29,1,0,0,0,0
Mar 01,1,0,0,0,0
Mar 02,1,0,0,0,0
Mar 03,1,0,0,0,0
Mar 04,1,0,0,0,0
Mar 05,1,0,0,0,0
Mar 06,1,0,0,0,0
Mar 07,1,0,0,0,0
Mar 08,1,0,0,0,0
Mar 09,1,0,0,0,0
Mar 10,1,0,0,0,0
Mar 11,2,1,1,0,0
Mar 12,3,1,2,0,0
Mar 13,6,3,5,0,0
Mar 14,10,4,9,0,0
Mar 15,18,8,17,0,0
Mar 16,28,10,27,0,0
Mar 17,44,16,43,0,0
Mar 18,51,7,48,0,0
Mar 19,60,9,57,0,0
Mar 20,73,13,70,0,0
Mar 21,77,4,74,0,0
Mar 22,82,5,79,0,0
Mar 23,97,15,95,0,0
Mar 24,102,5,100,0,0
Mar 25,102,0,99,0,0
Mar 26,106,4,99,0,0
Mar 27,106,0,99,0,0
Mar 28,113,7,103,1,1
Mar 29,117,4,105,1,0
Mar 30,122,5,105,2,1
Mar 31,143,21,124,2,0
Apr 01,146,3,122,3,1
Apr 02,151,5,126,4,1
Apr 03,159,8,131,4,0
