Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,7,null,7,0,0
Mar 06,16,9,16,0,0
Mar 07,19,3,19,0,0
Mar 08,19,0,19,0,0
Mar 09,25,6,25,0,0
Mar 10,29,4,29,0,0
Mar 11,30,1,30,0,0
Mar 12,31,1,31,0,0
Mar 13,35,4,35,0,0
Mar 14,38,3,38,0,0
Mar 15,38,0,38,0,0
Mar 16,39,1,39,0,0
Mar 17,44,5,44,0,0
Mar 18,44,0,44,0,0
Mar 19,47,3,47,0,0
Mar 20,48,1,31,0,0
Mar 21,53,5,36,0,0
Mar 22,59,6,42,0,0
Mar 23,59,0,42,0,0
Mar 24,60,1,44,0,0
Mar 25,71,11,54,1,0
Mar 26,86,15,68,1,0
Mar 27,91,5,73,1,0
Mar 28,104,13,85,1,0
Mar 29,109,5,90,1,0
Mar 30,117,8,98,1,0
Mar 31,119,2,100,1,0
Apr 01,134,15,115,1,0
Apr 02,161,27,142,1,0
Apr 03,194,33,172,1,0
Apr 04,217,23,195,1,0
