Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,1,null,1,0,0
Feb 16,1,0,1,0,0
Feb 17,1,0,1,0,0
Feb 18,1,0,1,0,0
Feb 19,1,0,1,0,0
Feb 20,1,0,1,0,0
Feb 21,1,0,1,0,0
Feb 22,1,0,1,0,0
Feb 23,1,0,1,0,0
Feb 24,1,0,1,0,0
Feb 25,1,0,1,0,0
Feb 26,2,1,2,0,0
Feb 27,7,5,7,0,0
Feb 28,11,4,11,0,0
Feb 29,13,2,13,0,0
Mar 01,14,1,14,0,0
Mar 02,15,1,15,0,0
Mar 03,30,15,29,0,0
Mar 04,52,22,51,0,0
Mar 05,94,42,93,0,0
Mar 06,137,43,136,0,0
Mar 07,161,24,160,0,0
Mar 08,203,42,202,0,0
Mar 09,260,57,259,0,0
Mar 10,355,95,354,0,0
Mar 11,500,145,498,1,1
Mar 12,687,187,685,1,0
Mar 13,814,127,812,1,0
Mar 14,961,147,958,2,1
Mar 15,1040,79,1036,3,1
Mar 16,1121,81,1113,7,4
Mar 17,1196,75,1187,8,1
Mar 18,1301,105,1276,10,2
Mar 19,1439,138,1412,11,1
Mar 20,1639,200,1607,16,5
Mar 21,1770,131,1734,20,4
Mar 22,1934,164,1897,21,1
Mar 23,2046,112,2003,27,6
Mar 24,2299,253,2243,40,13
Mar 25,2526,227,2448,62,22
Mar 26,2840,314,2747,77,15
Mar 27,3069,229,2948,105,28
Mar 28,3447,378,3326,105,0
Mar 29,3700,253,3574,110,5
Mar 30,4028,328,3866,146,36
Mar 31,4435,407,4239,180,34
Apr 01,4947,512,4605,239,59
Apr 02,5568,621,5157,308,69
Apr 03,6131,563,5568,358,50
