Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,18,null,16,0,0
Feb 16,20,2,17,1,0
Feb 17,22,2,19,1,0
Feb 18,22,0,19,1,0
Feb 19,23,1,20,1,0
Feb 20,24,1,21,1,0
Feb 21,26,2,23,1,0
Feb 22,26,0,23,1,0
Feb 23,28,2,25,1,0
Feb 24,30,2,27,1,0
Feb 25,31,1,25,1,0
Feb 26,32,1,26,1,0
Feb 27,32,0,26,1,0
Feb 28,34,2,28,1,0
Feb 29,39,5,29,1,0
Mar 01,40,1,27,1,0
Mar 02,41,1,28,1,0
Mar 03,42,1,29,1,0
Mar 04,42,0,29,1,0
Mar 05,44,2,31,1,0
Mar 06,45,1,29,1,0
Mar 07,45,0,29,1,0
Mar 08,45,0,29,1,0
Mar 09,45,0,29,1,0
Mar 10,47,2,29,1,0
Mar 11,48,1,27,1,0
Mar 12,49,1,28,1,0
Mar 13,50,1,29,1,0
Mar 14,53,3,32,1,0
Mar 15,59,6,38,1,0
Mar 16,67,8,46,1,0
Mar 17,77,10,56,1,0
Mar 18,100,23,77,1,0
Mar 19,108,8,81,1,0
Mar 20,135,27,105,2,1
Mar 21,153,18,123,2,0
Mar 22,169,16,139,2,0
Mar 23,195,26,165,2,0
Mar 24,216,21,185,2,0
Mar 25,235,19,204,2,0
Mar 26,252,17,221,2,0
Mar 27,267,15,235,2,0
Mar 28,283,16,251,2,0
Mar 29,298,15,256,3,1
Mar 30,306,8,262,5,2
Mar 31,322,16,278,5,0
Apr 01,329,7,279,5,0
Apr 02,339,10,284,5,0
Apr 03,348,9,293,5,0
Apr 04,355,7,300,5,0
