Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,1,null,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,1,0,1,0,0
Mar 13,1,0,1,0,0
Mar 14,1,0,1,0,0
Mar 15,1,0,1,0,0
Mar 16,1,0,1,0,0
Mar 17,1,0,1,0,0
Mar 18,1,0,1,0,0
Mar 19,1,0,1,0,0
Mar 20,9,8,9,0,0
Mar 21,16,7,16,0,0
Mar 22,16,0,16,0,0
Mar 23,18,2,18,0,0
Mar 24,20,2,19,0,0
Mar 25,23,3,22,0,0
Mar 26,24,1,23,0,0
Mar 27,25,1,23,1,0
Mar 28,25,0,23,1,0
Mar 29,25,0,23,1,0
Mar 30,30,5,28,1,0
Mar 31,34,4,23,1,0
Apr 01,36,2,24,2,1
Apr 02,39,3,20,2,0
Apr 03,40,1,20,3,1
