Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,1,null,1,0,0
Mar 13,1,0,1,0,0
Mar 14,2,1,2,0,0
Mar 15,2,0,2,0,0
Mar 16,4,2,4,0,0
Mar 17,5,1,5,0,0
Mar 18,7,2,7,0,0
Mar 19,9,2,9,0,0
Mar 20,9,0,9,0,0
Mar 21,49,40,49,0,0
Mar 22,50,1,50,0,0
Mar 23,51,1,51,0,0
Mar 24,57,6,57,0,0
Mar 25,60,3,59,1,0
Mar 26,65,5,64,1,0
Mar 27,66,1,63,2,1
Mar 28,76,10,72,3,1
Mar 29,78,2,74,3,0
Mar 30,83,5,79,3,0
Mar 31,87,4,83,3,0
Apr 01,90,3,84,5,2
Apr 02,94,4,88,5,0
Apr 03,98,4,91,6,1
