Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,1,null,1,0,0
Mar 04,1,0,1,0,0
Mar 05,1,0,1,0,0
Mar 06,1,0,1,0,0
Mar 07,1,0,1,0,0
Mar 08,1,0,1,0,0
Mar 09,1,0,1,0,0
Mar 10,1,0,1,0,0
Mar 11,1,0,1,0,0
Mar 12,3,2,3,0,0
Mar 13,3,0,2,1,1
Mar 14,3,0,2,1,0
Mar 15,3,0,2,1,0
Mar 16,7,4,6,1,0
Mar 17,14,7,12,2,1
Mar 18,16,2,14,2,0
Mar 19,26,10,23,3,1
Mar 20,41,15,37,3,0
Mar 21,47,6,43,3,0
Mar 22,73,26,69,3,0
Mar 23,73,0,69,3,0
Mar 24,102,29,98,3,0
Mar 25,145,43,139,5,2
Mar 26,196,51,190,5,0
Mar 27,310,114,300,5,0
Mar 28,356,46,342,9,4
Mar 29,475,119,459,10,1
Mar 30,548,73,527,13,3
Mar 31,645,97,618,17,4
Apr 01,794,149,761,20,3
Apr 02,897,103,856,22,2
Apr 03,1072,175,1023,27,5
Apr 04,1225,153,1168,32,5
