Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,8,null,5,0,0
Feb 16,9,1,6,0,0
Feb 17,9,0,6,0,0
Feb 18,9,0,6,0,0
Feb 19,9,0,6,0,0
Feb 20,9,0,6,0,0
Feb 21,11,2,8,0,0
Feb 22,13,2,10,0,0
Feb 23,13,0,10,0,0
Feb 24,13,0,10,0,0
Feb 25,13,0,10,0,0
Feb 26,13,0,10,0,0
Feb 27,19,6,14,0,0
Feb 28,19,0,14,0,0
Feb 29,21,2,16,0,0
Mar 01,21,0,16,0,0
Mar 02,21,0,16,0,0
Mar 03,27,6,22,0,0
Mar 04,28,1,23,0,0
Mar 05,28,0,23,0,0
Mar 06,45,17,38,0,0
Mar 07,45,0,38,0,0
Mar 08,45,0,38,0,0
Mar 09,59,14,47,0,0
Mar 10,74,15,62,0,0
Mar 11,74,0,57,0,0
Mar 12,85,11,65,0,0
Mar 13,85,0,65,0,0
Mar 14,85,0,65,0,0
Mar 15,98,13,75,0,0
Mar 16,98,0,75,0,0
Mar 17,113,15,87,0,0
Mar 18,113,0,87,0,0
Mar 19,140,27,109,0,0
Mar 20,140,0,107,2,2
Mar 21,153,13,113,2,0
Mar 22,153,0,113,2,0
Mar 23,198,45,155,2,0
Mar 24,248,50,201,2,0
Mar 25,333,85,279,2,0
Mar 26,333,0,279,2,0
Mar 27,405,72,351,2,0
Mar 28,468,63,414,2,0
Mar 29,570,102,509,3,1
Mar 30,611,41,545,5,2
Mar 31,664,53,597,6,1
Apr 01,814,150,745,8,2
Apr 02,1024,210,920,8,0
Apr 03,1264,240,1147,9,1
Apr 04,1505,241,1370,10,1
