Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,4,null,4,0,0
Mar 14,6,2,6,0,0
Mar 15,6,0,6,0,0
Mar 16,29,23,29,0,0
Mar 17,50,21,50,0,0
Mar 18,79,29,79,0,0
Mar 19,79,0,79,0,0
Mar 20,110,31,110,0,0
Mar 21,110,0,110,0,0
Mar 22,158,48,158,0,0
Mar 23,162,4,162,0,0
Mar 24,189,27,189,0,0
Mar 25,217,28,217,0,0
Mar 26,238,21,238,0,0
Mar 27,238,0,238,0,0
Mar 28,304,66,303,1,0
Mar 29,304,0,303,1,0
Mar 30,320,16,294,1,0
Mar 31,338,18,296,1,0
Apr 01,350,12,286,2,1
Apr 02,350,0,284,4,2
Apr 03,386,36,296,4,0
Apr 04,400,14,302,5,1
