Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,15,null,12,0,0
Feb 16,15,0,12,0,0
Feb 17,15,0,12,0,0
Feb 18,15,0,12,0,0
Feb 19,15,0,12,0,0
Feb 20,15,0,10,0,0
Feb 21,35,20,29,0,0
Feb 22,35,0,29,0,0
Feb 23,35,0,28,0,0
Feb 24,53,18,48,0,0
Feb 25,57,4,51,0,0
Feb 26,60,3,54,0,0
Feb 27,60,0,54,0,0
Feb 28,63,3,57,0,0
Feb 29,68,5,60,1,1
Mar 01,75,7,65,1,0
Mar 02,100,25,85,6,5
Mar 03,124,24,106,9,3
Mar 04,158,34,138,11,2
Mar 05,221,63,200,12,1
Mar 06,319,98,289,15,3
Mar 07,435,116,401,19,4
Mar 08,541,106,504,22,3
Mar 09,704,163,663,26,4
Mar 10,994,290,949,30,4
Mar 11,1301,307,1248,38,8
Mar 12,1630,329,1581,41,3
Mar 13,2183,553,2126,48,7
Mar 14,2770,587,2664,57,9
Mar 15,3613,843,3484,69,12
Mar 16,4596,983,4434,87,18
Mar 17,6344,1748,6127,110,23
Mar 18,9293,2949,9029,150,40
Mar 19,13862,4569,13545,206,56
Mar 20,19494,5632,19089,255,49
Mar 21,24319,4825,23844,301,46
Mar 22,33719,9400,33124,414,113
Mar 23,44030,10311,43173,556,142
Mar 24,55196,11166,54018,781,225
Mar 25,68647,13451,67205,1028,247
Mar 26,86035,17388,82846,1296,268
Mar 27,104778,18743,100522,1697,401
Mar 28,124230,19452,118740,2222,525
Mar 29,144143,19913,136962,2585,363
Mar 30,164875,20732,156184,3143,558
Mar 31,189789,24914,178430,4057,914
Apr 01,216408,26619,202366,5107,1050
Apr 02,246515,30107,229948,6081,974
Apr 03,278913,32398,259405,7127,1046
Apr 04,313109,34196,289729,8457,1330
Apr 05,338425,25316,310728,9622,1165
Apr 06,369532,31107,338808,10877,1255
Apr 07,402992,33460,368269,12848,1971
Apr 08,434927,31935,397248,14788,1940
