Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,0,null,0,0,0
Mar 14,0,null,0,0,0
Mar 15,4,null,4,0,0
Mar 16,8,4,8,0,0
Mar 17,11,3,11,0,0
Mar 18,18,7,18,0,0
Mar 19,23,5,23,0,0
Mar 20,33,10,33,0,0
Mar 21,41,8,41,0,0
Mar 22,43,2,43,0,0
Mar 23,46,3,46,0,0
Mar 24,50,4,50,0,0
Mar 25,60,10,60,0,0
Mar 26,75,15,75,0,0
Mar 27,88,13,82,1,0
Mar 28,104,16,97,2,1
Mar 29,144,40,135,2,0
Mar 30,149,5,140,2,0
Mar 31,172,23,163,2,0
Apr 01,181,9,167,2,0
Apr 02,205,24,178,2,0
Apr 03,227,22,200,2,0
Apr 04,266,39,239,2,0
