Date,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily New Deaths
Feb 15,0,null,0,0,0
Feb 16,0,null,0,0,0
Feb 17,0,null,0,0,0
Feb 18,0,null,0,0,0
Feb 19,0,null,0,0,0
Feb 20,0,null,0,0,0
Feb 21,0,null,0,0,0
Feb 22,0,null,0,0,0
Feb 23,0,null,0,0,0
Feb 24,0,null,0,0,0
Feb 25,0,null,0,0,0
Feb 26,0,null,0,0,0
Feb 27,0,null,0,0,0
Feb 28,0,null,0,0,0
Feb 29,0,null,0,0,0
Mar 01,0,null,0,0,0
Mar 02,0,null,0,0,0
Mar 03,0,null,0,0,0
Mar 04,0,null,0,0,0
Mar 05,0,null,0,0,0
Mar 06,0,null,0,0,0
Mar 07,0,null,0,0,0
Mar 08,0,null,0,0,0
Mar 09,0,null,0,0,0
Mar 10,0,null,0,0,0
Mar 11,0,null,0,0,0
Mar 12,0,null,0,0,0
Mar 13,2,null,2,0,0
Mar 14,2,0,2,0,0
Mar 15,17,15,17,0,0
Mar 16,17,0,17,0,0
Mar 17,33,16,33,0,0
Mar 18,36,3,36,0,0
Mar 19,42,6,42,0,0
Mar 20,65,23,64,0,0
Mar 21,70,5,55,0,0
Mar 22,70,0,55,0,0
Mar 23,84,14,69,0,0
Mar 24,84,0,69,0,0
Mar 25,106,22,91,0,0
Mar 26,107,1,91,1,0
Mar 27,113,6,80,2,1
Mar 28,119,6,78,2,0
Mar 29,119,0,77,3,1
Mar 30,135,16,93,3,0
Mar 31,135,0,93,3,0
Apr 01,144,9,98,3,0
Apr 02,146,2,98,5,2
Apr 03,153,7,94,7,2
Apr 04,155,2,96,7,0
